==============BoostCF #[3]===============
The initial unexplained part (sum of rating matrix) is 725640.000000
learningRate=[0.000000], dim=[1], lambda=[0.00], lambda_social=[0.00], lambda_item=[0.00], sim_threshold=[0.800000]
-------------------------------------------
Round[80]: Size[22×136], Iteration[50], Unexplained part[678592.506704], Percentage[93.516414%], delta%=[0.013560%]
Round[81]: Size[10×13], Iteration[0], Unexplained part[678592.506704], Percentage[93.516414%], delta%=[0.000000%]
Round[82]: Size[18×10], Iteration[0], Unexplained part[678592.506704], Percentage[93.516414%], delta%=[0.000000%]
Round[83]: Size[22×33], Iteration[50], Unexplained part[678579.680531], Percentage[93.514646%], delta%=[0.001768%]
Round[84]: Size[4×11], Iteration[0], Unexplained part[678579.680531], Percentage[93.514646%], delta%=[0.000000%]
Round[85]: Size[13×39], Iteration[50], Unexplained part[678577.726397], Percentage[93.514377%], delta%=[0.000269%]
Round[86]: Size[7×49], Iteration[50], Unexplained part[678571.786369], Percentage[93.513559%], delta%=[0.000819%]
Round[87]: Size[8×436], Iteration[50], Unexplained part[678497.415277], Percentage[93.503310%], delta%=[0.010249%]
Round[88]: Size[20×99], Iteration[50], Unexplained part[678496.415277], Percentage[93.503172%], delta%=[0.000138%]
Round[89]: Size[5×36], Iteration[0], Unexplained part[678496.415277], Percentage[93.503172%], delta%=[0.000000%]
Round[90]: Size[22×10], Iteration[0], Unexplained part[678496.415277], Percentage[93.503172%], delta%=[0.000000%]
Round[91]: Size[13×48], Iteration[50], Unexplained part[678496.284919], Percentage[93.503154%], delta%=[0.000018%]
Round[92]: Size[20×91], Iteration[0], Unexplained part[678496.284919], Percentage[93.503154%], delta%=[0.000000%]
Round[93]: Size[19×93], Iteration[0], Unexplained part[678496.284919], Percentage[93.503154%], delta%=[0.000000%]
Round[94]: Size[19×24], Iteration[50], Unexplained part[678494.215107], Percentage[93.502869%], delta%=[0.000285%]
Round[95]: Size[18×16], Iteration[0], Unexplained part[678494.215107], Percentage[93.502869%], delta%=[0.000000%]
Round[96]: Size[19×60], Iteration[0], Unexplained part[678494.215107], Percentage[93.502869%], delta%=[0.000000%]
Round[97]: Size[20×58], Iteration[0], Unexplained part[678494.215107], Percentage[93.502869%], delta%=[0.000000%]
Round[98]: Size[20×46], Iteration[50], Unexplained part[678474.762817], Percentage[93.500188%], delta%=[0.002681%]
Round[99]: Size[5014×32], Iteration[50], Unexplained part[674489.915029], Percentage[92.951038%], delta%=[0.549149%]
Round[100]: Size[5014×19], Iteration[50], Unexplained part[670609.070188], Percentage[92.416222%], delta%=[0.534817%]


==============BoostCF #[5]===============
The initial unexplained part (sum of rating matrix) is 725640.000000
learningRate=[0.000000], dim=[1], lambda=[0.00], lambda_social=[0.00], lambda_item=[0.00], sim_threshold=[0.200000]
-------------------------------------------
Round[1]: Size[26×46], Iteration[50], Unexplained part[725613.000325], Percentage[99.996279%], delta%=[0.003721%]
Round[2]: Size[15×95], Iteration[50], Unexplained part[725597.000325], Percentage[99.994074%], delta%=[0.002205%]
Round[3]: Size[29×13], Iteration[50], Unexplained part[725530.983538], Percentage[99.984977%], delta%=[0.009098%]
Round[4]: Size[40×28], Iteration[0], Unexplained part[725530.983538], Percentage[99.984977%], delta%=[0.000000%]
Round[5]: Size[16×203], Iteration[50], Unexplained part[725515.983698], Percentage[99.982909%], delta%=[0.002067%]
Round[6]: Size[14×48], Iteration[50], Unexplained part[725501.985070], Percentage[99.980980%], delta%=[0.001929%]
Round[7]: Size[29×8], Iteration[0], Unexplained part[725501.985070], Percentage[99.980980%], delta%=[0.000000%]
Round[8]: Size[44×15], Iteration[50], Unexplained part[725310.977176], Percentage[99.954658%], delta%=[0.026323%]
Round[9]: Size[51×32], Iteration[0], Unexplained part[725310.977176], Percentage[99.954658%], delta%=[0.000000%]
Round[10]: Size[48×76], Iteration[0], Unexplained part[725310.977176], Percentage[99.954658%], delta%=[0.000000%]
Round[11]: Size[30×14], Iteration[0], Unexplained part[725310.977176], Percentage[99.954658%], delta%=[0.000000%]
Round[12]: Size[28×65], Iteration[50], Unexplained part[725299.553900], Percentage[99.953083%], delta%=[0.001574%]
Round[13]: Size[46×126], Iteration[50], Unexplained part[725278.553900], Percentage[99.950189%], delta%=[0.002894%]
Round[14]: Size[21×82], Iteration[0], Unexplained part[725278.553900], Percentage[99.950189%], delta%=[0.000000%]
Round[15]: Size[28×31], Iteration[50], Unexplained part[725265.553900], Percentage[99.948398%], delta%=[0.001792%]
Round[16]: Size[31×376], Iteration[50], Unexplained part[724809.226338], Percentage[99.885512%], delta%=[0.062886%]
Round[17]: Size[23×6], Iteration[50], Unexplained part[724808.022065], Percentage[99.885346%], delta%=[0.000166%]
Round[18]: Size[24×81], Iteration[50], Unexplained part[724807.022065], Percentage[99.885208%], delta%=[0.000138%]
Round[19]: Size[24×82], Iteration[50], Unexplained part[724663.590204], Percentage[99.865442%], delta%=[0.019766%]
Round[20]: Size[3×189], Iteration[50], Unexplained part[724610.559207], Percentage[99.858133%], delta%=[0.007308%]
Round[21]: Size[8×150], Iteration[0], Unexplained part[724610.559207], Percentage[99.858133%], delta%=[0.000000%]
Round[22]: Size[44×55], Iteration[50], Unexplained part[724597.559207], Percentage[99.856342%], delta%=[0.001792%]
Round[23]: Size[20×99], Iteration[50], Unexplained part[724420.007154], Percentage[99.831874%], delta%=[0.024468%]
Round[24]: Size[20×38], Iteration[0], Unexplained part[724420.007154], Percentage[99.831874%], delta%=[0.000000%]
Round[25]: Size[19×231], Iteration[50], Unexplained part[724420.007138], Percentage[99.831874%], delta%=[0.000000%]
Round[26]: Size[25×14], Iteration[50], Unexplained part[724416.007138], Percentage[99.831322%], delta%=[0.000551%]
Round[27]: Size[27×122], Iteration[0], Unexplained part[724416.007138], Percentage[99.831322%], delta%=[0.000000%]
Round[28]: Size[15×97], Iteration[0], Unexplained part[724416.007138], Percentage[99.831322%], delta%=[0.000000%]
Round[29]: Size[12×94], Iteration[0], Unexplained part[724416.007138], Percentage[99.831322%], delta%=[0.000000%]
Round[30]: Size[24×115], Iteration[50], Unexplained part[724407.116871], Percentage[99.830097%], delta%=[0.001225%]
Round[31]: Size[17×56], Iteration[50], Unexplained part[724395.116871], Percentage[99.828443%], delta%=[0.001654%]
Round[32]: Size[12×12], Iteration[0], Unexplained part[724395.116871], Percentage[99.828443%], delta%=[0.000000%]
Round[33]: Size[27×57], Iteration[0], Unexplained part[724395.116871], Percentage[99.828443%], delta%=[0.000000%]
Round[34]: Size[34×8], Iteration[50], Unexplained part[724390.116871], Percentage[99.827754%], delta%=[0.000689%]
Round[35]: Size[23×25], Iteration[0], Unexplained part[724390.116871], Percentage[99.827754%], delta%=[0.000000%]
